sold by,publisher.type,genre,avg.review,daily.sales,total.reviews,sale.price
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.74,105.01,125,7.9
Penguin Group (USA) LLC,big five,non_fiction,4.84,59.83,114,13.65
Random House LLC,big five,YA_fiction,4.68,75.46,146,8.96
Macmillan,big five,YA_fiction,4.11,117.25,131,7.35
HarperCollins Publishing,big five,adult_fiction,3.48,92.86,133,7.27
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.37,97.27,172,9.28
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.22,115.97,163,8.41
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.64,111.53,168,9.8
Penguin Group (USA) LLC,big five,YA_fiction,4.9,123.71,170,9.48
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.36,53.69,106,8.27
"Amazon Digital Services,  Inc.",amazon,adult_fiction,4.08,71.42,117,6.94
HarperCollins Publishers,big five,YA_fiction,4.42,144.01,148,8.04
Penguin Group (USA) LLC,big five,non_fiction,4.35,50.77,85,16.88
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.47,132.07,210,10.15
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.54,56.71,114,13.59
Penguin Group (USA) LLC,big five,non_fiction,4.54,68.72,90,13.69
Random House LLC,big five,YA_fiction,4.5,92.41,160,5.86
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.2,82.61,111,6.85
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,79.47,108,20.66
"Amazon Digital Services,  Inc.",indie,non_fiction,4.5,46.54,119,14.47
Penguin Group (USA) LLC,big five,non_fiction,3.73,63.61999999999999,52,14.98
"Amazon Digital Services,  Inc.",indie,non_fiction,4.75,61.74,80,17.3
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.98,63.31,114,13.13
"Amazon Digital Services,  Inc.",indie,non_fiction,4.33,81.32,117,13.73
"Amazon Digital Services,  Inc.",indie,non_fiction,4.25,57.82,71,16.96
Macmillan,big five,YA_fiction,2.02,112.82,171,10.68
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.2,80.49,136,19.28
"Amazon Digital Services,  Inc.",small/medium,non_fiction,2.72,70.61,110,14.44
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,64.39,85,13.58
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.66,108.9,146,10.49
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.15,51.82,140,13.53
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.31,71.9,112,6.8
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.94,106.42,127,9.62
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.71,71.34,106,7.26
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.68,186.45,195,5.9
Penguin Group (USA) LLC,big five,non_fiction,4.57,52.47,105,18.15
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.01,64.13,139,9.15
Macmillan,big five,YA_fiction,4.2,69.58,167,9.96
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.62,49.75,95,17.71
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.55,44.7,58,14.19
"Amazon Digital Services,  Inc.",single author,YA_fiction,2.48,106.87,174,8.08
Random House LLC,big five,adult_fiction,4.32,80.61,128,7.54
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.8,103.25,174,8.13
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.45,76.03,111,10.02
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.35,82.04,171,9.66
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.59,134.11,180,6.39
"Amazon Digital Services,  Inc.",indie,non_fiction,4.45,92.48,106,16.85
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.76,88.82,132,8.05
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.75,143.37,146,6.24
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.56,92.86,141,7.45
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.68,51.48,131,16.02
Simon and Schuster Digital Sales Inc,big five,non_fiction,3.91,65.66,122,15.33
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.92,56.63,89,12.72
"Amazon Digital Services,  Inc.",small/medium,non_fiction,2.5,73.63,118,13.89
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.56,62.95,108,12.63
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.25,74.98,118,7.95
Random House LLC,big five,YA_fiction,3.6,85.35,159,7.97
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.72,80.18,197,10.24
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.27,149.05,175,11.14
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.51,175.39,193,6.07
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.36,73.99,93,14.04
Penguin Group (USA) LLC,big five,non_fiction,4.85,56.28,72,11.31
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.08,95.7,98,8.24
Random House LLC,big five,adult_fiction,4.25,73.72,101,7.37
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.39,83.04,93,8.79
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.76,85.62,102,10.77
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.36,117.93,174,7.61
"Amazon Digital Services,  Inc.",indie,non_fiction,4.5,66.69,100,17.05
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.12,89.84,137,7.99
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.15,95.71,122,5.37
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.48,67.29,114,16.09
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.16,101,105,5.53
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.81,87.57,112,19.58
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.89,76.38,142,10.01
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.66,122.28,166,7.61
"Amazon Digital Services,  Inc.",indie,non_fiction,4.4,46.84,56,13.57
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.58,61.99,144,8.41
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.81,109.99,133,7.74
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.71,63.08,96,6.9
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.28,110.08,112,8.49
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.8,95.07,116,5.87
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.4,59.03,104,12.46
"Amazon Digital Services,  Inc.",indie,non_fiction,4.23,81.1,100,13.37
Random House LLC,big five,non_fiction,4.43,95.59,89,14.37
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.23,85.57,139,9.55
"Amazon Digital Services,  Inc.",indie,non_fiction,2,66.33,78,13.19
HarperCollins Publishers,big five,YA_fiction,3.25,107.13,205,8.18
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.85,116.29,150,4.76
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.61,86.08,98,17.93
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.67,77.98,134,5.24
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.56,79.96,185,7.25
Penguin Group (USA) LLC,big five,adult_fiction,2.48,81.99,111,5.41
Random House LLC,big five,adult_fiction,4.6,88.76,145,8.59
"Amazon Digital Services,  Inc.",single author,non_fiction,4.71,64.77,122,12.22
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.35,91.75,128,9.61
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.73,154.48,194,5.4
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.84,139.43,142,10.1
HarperCollins Publishers,big five,non_fiction,3.97,68.56,102,14.82
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.59,82.8,145,6.38
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.25,116.42,161,5.83
Penguin Group (USA) LLC,big five,non_fiction,4.25,83.71,136,13.56
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.61,78.14,172,9.32
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.69,75.02,120,8.14
"Amazon Digital Services,  Inc.",indie,non_fiction,4.34,54.62,125,13.09
"Amazon Digital Services,  Inc.",indie,non_fiction,4.46,40.09,100,16.76
Penguin Group (USA) LLC,big five,adult_fiction,3.37,59.74,105,10.03
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.52,98.18,199,9.51
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.43,118.86,209,7.24
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.88,71.11,119,15
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.63,55.53,138,9.17
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.45,77.39,107,7.81
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.52,110.5,129,7.77
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.39,111.73,133,9.52
Random House LLC,big five,adult_fiction,4.04,106.71,123,4.82
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.47,101.47,153,9.42
Penguin Group (USA) LLC,big five,YA_fiction,4.89,51.69,187,14.23
"Amazon Digital Services,  Inc.",indie,adult_fiction,2.96,71.77,135,7.99
"Amazon Digital Services,  Inc.",single author,non_fiction,4.39,69.88,71,12.55
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.39,119.72,123,5.65
Macmillan,big five,non_fiction,3.85,62.13,106,9.95
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.69,89.28,125,9.2
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.66,72.15,107,11.82
Random House LLC,big five,adult_fiction,4.46,80.48,93,7.34
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.64,60.4,157,9.99
Random House LLC,big five,YA_fiction,4.11,179.88,164,7.62
Penguin Group (USA) LLC,big five,YA_fiction,4.66,138.27,165,6.25
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.39,123.06,162,6.04
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.94,42.74,87,9.39
"Amazon Digital Services,  Inc.",single author,non_fiction,4.8,49.83,128,13.94
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.87,94.06,98,7.23
"Amazon Digital Services,  Inc.",indie,non_fiction,4.59,71.27,126,19.11
Random House LLC,big five,non_fiction,4.76,89.75,124,14.74
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.25,52.55,83,12.21
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.65,51.57,111,14.59
Random House LLC,big five,YA_fiction,3.5,91.72,186,9.23
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.29,102.9,202,9.27
"Amazon Digital Services,  Inc.",single author,non_fiction,3.48,70.7,75,16.76
"Amazon Digital Services,  Inc.",indie,non_fiction,4.46,54.85,122,12.22
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.5,94.93,182,7.93
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.01,86.51,119,15.3
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.58,72.21,137,13.1
"Amazon Digital Services,  Inc.",single author,non_fiction,4.2,73.08,117,14.38
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.6,85.88,72,8.82
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.59,117.98,144,8.81
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.8,72.2,80,15.44
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.23,56.75,77,9.33
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.34,110.55,195,7.34
Hachette Book Group,big five,adult_fiction,4.77,57.27,142,8.58
"Amazon Digital Services,  Inc.",single author,non_fiction,4.5,62.07,110,12.82
Penguin Group (USA) LLC,big five,non_fiction,4.75,86.02,109,18.76
Macmillan,big five,non_fiction,3.83,71.6,79,13.25
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.61,59.83,77,17.51
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.28,83.45,155,8.68
Hachette Book Group,big five,adult_fiction,4.08,74.56,151,11.32
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.83,56.32,122,8.93
Random House LLC,big five,YA_fiction,4.5,82.8,157,6.54
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.21,147.96,153,5.09
"Amazon Digital Services,  Inc.",indie,non_fiction,4.28,40.82,102,15.55
HarperCollins Publishers,big five,YA_fiction,4.75,141.41,201,10.33
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.15,78.92,128,6.47
Macmillan,big five,adult_fiction,4.06,79.72,116,7.73
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.37,71.7,127,15.1
"Amazon Digital Services,  Inc.",single author,non_fiction,4.95,56.65,103,10.26
Penguin Group (USA) LLC,big five,non_fiction,4.09,43.38,129,17.14
Random House LLC,big five,YA_fiction,4.4,101.63,208,10.2
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.55,103.49,191,7.07
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.6,41.05,88,13.67
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.73,25.35,127,14.33
"Amazon Digital Services,  Inc.",indie,non_fiction,4.31,52.84,118,19.4
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.68,128.77,161,6.06
Random House LLC,big five,adult_fiction,4.2,64.22,121,7.81
"Amazon Digital Services,  Inc.",indie,non_fiction,4.25,77.5,106,12.59
Random House LLC,big five,adult_fiction,4.86,58.29,99,7.55
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.98,113.06,160,7.75
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.47,90.03,163,11.18
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.61,51.98,69,15.36
"Amazon Digital Services,  Inc.",amazon,YA_fiction,4.56,72.74,178,8.32
"Amazon Digital Services,  Inc.",single author,non_fiction,4.47,50.35,94,12.27
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.58,74.84,183,10.24
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.4,65.04,129,8
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.98,83.68,126,7.3
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.31,72.49,96,16.75
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.17,50.42,115,11.32
HarperCollins Publishers,big five,adult_fiction,4.48,59.69,150,11.58
"Amazon Digital Services,  Inc.",single author,non_fiction,4.44,74.75,108,16.05
HarperCollins Publishers,big five,non_fiction,4.15,31.19,116,16.64
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.46,142.42,140,9.25
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.65,70.2,99,14.73
Penguin Group (USA) LLC,big five,YA_fiction,4.58,77.79,154,9.61
Hachette Book Group,big five,YA_fiction,4.27,109,182,1.89
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.3,116.04,153,5.48
HarperCollins Christian Publishing,big five,adult_fiction,4.28,95.36,153,7.13
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,27.18,117,13.49
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.83,104.95,180,5.18
Macmillan,big five,non_fiction,4.51,69.34,136,17.95
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.58,81.99,110,6.55
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.49,62.29,118,15.77
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.33,55.36,112,7.06
Random House LLC,big five,non_fiction,4.29,46.52,85,10.09
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.55,54.39,116,8.01
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.74,60.53,108,16.68
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.98,122.91,184,12.36
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.88,80.02,129,6.63
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.78,45.62,119,19.59
Macmillan,big five,YA_fiction,3.75,74.46,152,8.94
"Amazon Digital Services,  Inc.",single author,non_fiction,4.8,81.62,84,15.76
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.5,55.75,103,11.17
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.84,82.71,139,7.45
Random House LLC,big five,YA_fiction,4.65,133.91,194,7.15
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.8,50.69,110,9.86
"Amazon Digital Services,  Inc.",single author,non_fiction,3.66,36.68,77,16.38
"Amazon Digital Services,  Inc.",indie,non_fiction,4.58,56.61,75,14.74
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.68,85.13,127,16.54
Idea & Design Works,small/medium,adult_fiction,4.5,69.12,118,8.29
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.75,81.93,93,9.5
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.46,65.58,149,8.14
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.98,161.3,156,6.74
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.75,96.56,91,6.51
Penguin Group (USA) LLC,big five,adult_fiction,4.5,94.36,117,6.99
"Amazon Digital Services,  Inc.",amazon,YA_fiction,3.44,121.07,159,7.84
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.38,45.55,68,17.55
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.88,84.44,91,14.25
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.87,75,116,10.09
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.67,62.67,61,16.37
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.48,68.78,121,16.38
Simon and Schuster Digital Sales Inc,big five,adult_fiction,3.8,79.72,124,6.78
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.32,91.15,155,8.1
Random House LLC,big five,YA_fiction,4.12,107.81,154,8.95
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.8,138.11,201,7.67
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.83,132.54,141,7.57
Random House LLC,big five,non_fiction,4.5,74.71,109,14.61
Macmillan,big five,non_fiction,4.26,71.02,98,12.94
Macmillan,big five,YA_fiction,4.18,99.63,170,8.32
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.41,70.81,63,13.23
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.58,96.3,138,7.26
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.68,92.55,139,8.6
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.75,100.22,155,4.48
Random House LLC,big five,YA_fiction,4.67,101.82,151,7.67
"Amazon Digital Services,  Inc.",indie,non_fiction,4.7,75.26,124,13.21
Random House LLC,big five,adult_fiction,4.47,100.74,152,6.44
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.67,85.89,166,10.17
HarperCollins Publishers,big five,non_fiction,3.66,73.62,102,14.67
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.95,45.36,58,15.55
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.52,107.49,175,5.29
"Amazon Digital Services,  Inc.",single author,non_fiction,4.33,69.11,133,14.85
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.92,139.43,197,5.07
HarperCollins Publishers,big five,YA_fiction,4.7,90.12,161,6.01
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.65,47.81,99,13.54
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.85,68.03,96,5.26
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.85,57.46,101,12.72
"Amazon Digital Services,  Inc.",single author,non_fiction,4.58,68.26,117,17.97
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.85,53.16,97,16.79
Random House LLC,big five,YA_fiction,4.29,134.35,177,9.79
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.23,137.78,146,8.11
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.17,71.31,145,8.32
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.21,63.15,191,8.31
"Amazon Digital Services,  Inc.",amazon,adult_fiction,4.66,78.47,150,8.52
Simon and Schuster Digital Sales Inc,big five,adult_fiction,2.48,73.72,112,8.8
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.68,86.48,153,6.8
Penguin Group (USA) LLC,big five,YA_fiction,4.66,118.52,137,6.89
Random House LLC,big five,YA_fiction,4.2,84.69,189,9.25
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.82,95.07,120,8.18
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.53,80.12,170,9.45
Random House LLC,big five,adult_fiction,4.84,66.67,141,6.33
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.86,78.13,92,15.14
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.75,163.35,208,8.63
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.26,130.01,203,1.17
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.75,82.22,138,7.65
"Amazon Digital Services,  Inc.",single author,non_fiction,4.87,67.22,83,17.45
Macmillan,big five,YA_fiction,4.5,151.29,162,6.02
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.34,66.63,165,8.76
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.84,63.86,119,6.96
HarperCollins Publishers,big five,non_fiction,4.49,68.23,105,12.8
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.48,75,147,4.84
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.79,92.53,203,9.1
Random House LLC,big five,YA_fiction,2.5,134.4,170,6.46
Hachette Book Group,big five,adult_fiction,4.53,78.54,108,8.98
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.6,86.8,126,16.82
Random House LLC,big five,adult_fiction,4.66,83.33,113,5.73
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.7,81.25,133,7.1
Penguin Group (USA) LLC,big five,adult_fiction,4.45,82.38,144,8.5
Macmillan,big five,YA_fiction,4.56,101.43,180,10.83
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.98,76.28,155,8.71
"Amazon Digital Services,  Inc.",single author,non_fiction,3.5,77.23,104,18.25
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.86,89.57,153,7.09
"Amazon Digital Services,  Inc.",single author,non_fiction,4.48,51.39,106,15.53
"Amazon Digital Services,  Inc.",indie,non_fiction,4.52,55.91,81,13.69
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.84,55.78,142,6.4
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.03,164.07,155,6.9
Penguin Group (USA) LLC,big five,YA_fiction,3.4,129.8,157,8.36
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.33,82.07,160,6.4
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.5,53.37,65,5.09
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.47,89.56,139,9.08
Penguin Group (USA) LLC,big five,non_fiction,4.85,68.6,90,15.79
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.81,108.18,163,8.98
"Amazon Digital Services,  Inc.",indie,non_fiction,2.5,58.52,99,14.2
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.45,73.42,132,5.62
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.5,156.82,207,6.35
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.43,89.46,131,8.74
Random House LLC,big five,non_fiction,4.45,71.64,118,13.62
"Amazon Digital Services,  Inc.",single author,non_fiction,4.61,73.35,105,15.5
HarperCollins Publishers,big five,adult_fiction,4.45,99.81,123,8.36
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.45,99.86,133,14.42
Simon and Schuster Digital Sales Inc,big five,YA_fiction,3.62,114.05,163,10.23
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.5,84.19,108,18.32
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.37,58.72,90,15.14
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.68,60.33,117,15.18
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.27,77.49,115,7.98
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.43,135.48,165,5.72
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.6,108.13,166,8.37
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.38,71.45,86,14.27
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.52,60.61,119,5.53
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.33,105.27,123,8.77
"Amazon Digital Services,  Inc.",single author,non_fiction,4.12,69.95,83,15.58
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,0,86.03,0,11.54
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.87,104.8,129,4.36
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.3,88.9,180,6.74
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.62,66.88,115,12.91
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.5,84.2,154,8.98
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.88,70.58,70,17.07
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.7,88.77,121,4.17
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.27,45.9,122,19.47
Random House LLC,big five,non_fiction,4.21,68.38,104,16.63
DC Comics,small/medium,adult_fiction,4.33,88.08,148,8.53
HarperCollins Publishing,big five,adult_fiction,4.23,72.85,123,8.33
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,38.15,81,14.8
"Amazon Digital Services,  Inc.",indie,non_fiction,4.45,65.79,68,13.04
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.8,94.58,145,6.5
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.75,40.69,80,16.03
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.97,68.25,139,4.72
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.27,90.42,156,8.02
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.61,76.15,197,5.17
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.72,122.89,151,6.53
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.84,71.26,72,15.96
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.73,55.13,99,13.09
"Amazon Digital Services,  Inc.",indie,non_fiction,4.3,66.03,107,14.86
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.99,46.75,123,6.2
Random House LLC,big five,adult_fiction,4.34,73.38,162,8.29
Macmillan,big five,adult_fiction,4.71,92.28,121,8.08
Random House LLC,big five,YA_fiction,3.83,125.06,182,8.26
Simon and Schuster Digital Sales Inc,big five,adult_fiction,3.89,101.73,143,10.49
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.56,122.81,156,7.76
Penguin Group (USA) LLC,big five,YA_fiction,4.59,97.1,189,6.22
Random House LLC,big five,non_fiction,4.5,51.02,102,17.81
Random House LLC,big five,adult_fiction,4.61,57.5,127,8.15
"Amazon Digital Services,  Inc.",indie,non_fiction,4.75,73.24,95,14.23
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.22,57.36,129,6.58
Penguin Group (USA) LLC,big five,YA_fiction,4.4,110.39,203,10.63
"Amazon Digital Services,  Inc.",indie,non_fiction,4.74,55.68,103,14.46
"Amazon Digital Services,  Inc.",amazon,YA_fiction,2.75,58.9,167,4.84
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.09,97.18,159,5.31
Random House LLC,big five,non_fiction,3.5,35.9,102,16.12
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.37,42.42,118,19.08
